"Disease" "Gene"
"CLL" "CXXC1"
"CLL" "RNF217"
"CLL" "CCNH"
"CLL" "BCR"
"CLL" "ADAR"
"CLL" "CD8A"
"CLL" "BIRC3"
"CLL" "ATAD1"
"CLL" "FZD3"
"CLL" "CXCL10"
"CLL" "PAGR1"
"CLL" "FCRL3"
"CLL" "MCPH1"
"CLL" "TNFSF11"
"CLL" "BCL11B"
"CLL" "EPO"
"CLL" "OPRM1"
"CLL" "USF1"
"CLL" "LRP6"
"CLL" "SETD2"
"CLL" "RFX7"
"CLL" "GRN"
"CLL" "TGFA"
"CLL" "ETV3"
"CLL" "TARP"
"CLL" "MAP2K1"
"CLL" "CCL21"
"CLL" "CALR"
"CLL" "WDR11"
"CLL" "ATP2B4"
"CLL" "FCGR3B"
"CLL" "LSAMP"
"CLL" "KLF6"
"CLL" "ADRA1A"
"CLL" "DMD"
"CLL" "CYP3A7"
"CLL" "RBM14-RBM4"
"CLL" "IFNGR2"
"CLL" "RARS1"
"CLL" "PIK3CG"
"CLL" "GNAS"
"CLL" "CFH"
"CLL" "STUB1"
"CLL" "KDR"
"CLL" "RELB"
"CLL" "MUM1"
"CLL" "TIGAR"
"CLL" "IDH2"
"CLL" "IL7"
"CLL" "SERPINA5"
"CLL" "SHC3"
"CLL" "MYLIP"
"CLL" "OBFC1"
"CLL" "CCR6"
"CLL" "CNOT1"
"CLL" "IGLL5"
"CLL" "JAK2"
"CLL" "LAMP1"
"CLL" "TMED7-TICAM2"
"CLL" "DNMT1"
"CLL" "NTSR2"
"CLL" "BTLA"
"CLL" "CD74"
"CLL" "EGR3"
"CLL" "TUBB4B"
"CLL" "EBF1"
"CLL" "SSTR2"
"CLL" "ISG20"
"CLL" "SOCS3"
"CLL" "RELA"
"CLL" "WNT3"
"CLL" "CLPTM1L"
"CLL" "PPP2R1B"
"CLL" "BCL2L1"
"CLL" "ID4"
"CLL" "SRC"
"CLL" "IL2RA"
"CLL" "SYK"
"CLL" "AURKA"
"CLL" "IFNA13"
"CLL" "MTSS1"
"CLL" "NAT1"
"CLL" "GPRC5A"
"CLL" "MLXIP"
"CLL" "ING5"
"CLL" "APOE"
"CLL" "DDX39A"
"CLL" "TP63"
"CLL" "TICAM2"
"CLL" "APCDD1"
"CLL" "KLK14"
"CLL" "ERBB2"
"CLL" "TP53"
"CLL" "PTPN22"
"CLL" "EGFR"
"CLL" "ARHGEF1"
"CLL" "RNASEH2B"
"CLL" "RUNX1T1"
"CLL" "EIF2AK2"
"CLL" "LIG4"
"CLL" "CXCR4"
"CLL" "CD27"
"CLL" "JUNB"
"CLL" "SIRT1"
"CLL" "KMT2A"
"CLL" "G6PD"
"CLL" "EHMT1"
"CLL" "LILRB2"
"CLL" "COLEC10"
"CLL" "C22ORF29"
"CLL" "LCP1"
"CLL" "CXCL13"
"CLL" "WNT5A"
"CLL" "LMO1"
"CLL" "BAG3"
"CLL" "NTRK1"
"CLL" "MRO"
"CLL" "LONP1"
"CLL" "SENP2"
"CLL" "TREX1"
"CLL" "TNFSF13"
"CLL" "RASGRP2"
"CLL" "DPP4"
"CLL" "F2R"
"CLL" "IL23A"
"CLL" "IL11"
"CLL" "DDX39B"
"CLL" "BFAR"
"CLL" "CCDC50"
"CLL" "MKI67"
"CLL" "PDCD4"
"CLL" "CYFIP2"
"CLL" "DCN"
"CLL" "AIMP1"
"CLL" "YBX1"
"CLL" "PEA15"
"CLL" "SPANXA2"
"CLL" "ABCB4"
"CLL" "SPRY2"
"CLL" "ARSD"
"CLL" "CHEK1"
"CLL" "MECOM"
"CLL" "FLI1"
"CLL" "CD247"
"CLL" "NAT2"
"CLL" "RPL10"
"CLL" "SLC7A4"
"CLL" "ABL1"
"CLL" "ACKR3"
"CLL" "ACE2"
"CLL" "SET"
"CLL" "PIM1"
"CLL" "CD69"
"CLL" "MAPK8IP2"
"CLL" "IRF4"
"CLL" "BCL6"
"CLL" "GUSB"
"CLL" "LRIG1"
"CLL" "IL13"
"CLL" "SMAD7"
"CLL" "PTN"
"CLL" "PRCP"
"CLL" "ACP3"
"CLL" "CCL19"
"CLL" "SNRPN"
"CLL" "PIK3R1"
"CLL" "DKK3"
"CLL" "NXF2"
"CLL" "SIGLEC6"
"CLL" "E2F7"
"CLL" "PRRT2"
"CLL" "EIF4EBP1"
"CLL" "EGR2"
"CLL" "BTG1"
"CLL" "ZFP36"
"CLL" "LGALS9"
"CLL" "TRIP13"
"CLL" "LAG3"
"CLL" "TRG"
"CLL" "SMUG1"
"CLL" "TRIB2"
"CLL" "SEMG1"
"CLL" "HSPA5"
"CLL" "IVL"
"CLL" "NOTCH2"
"CLL" "IL21"
"CLL" "IQGAP1"
"CLL" "DLEU7"
"CLL" "SKP2"
"CLL" "LDOC1"
"CLL" "CD53"
"CLL" "PMAIP1"
"CLL" "CSNK1D"
"CLL" "EGR1"
"CLL" "HES1"
"CLL" "IL11RA"
"CLL" "SF3B6"
"CLL" "SSSCA1"
"CLL" "SRSF2"
"CLL" "ARHGAP20"
"CLL" "FCGR3A"
"CLL" "SND1"
"CLL" "KIR3DL1"
"CLL" "FAP"
"CLL" "BCL3"
"CLL" "RNASE12"
"CLL" "CXADR"
"CLL" "LTB"
"CLL" "CAV1"
"CLL" "LILRB1"
"CLL" "SULT1E1"
"CLL" "CASR"
"CLL" "GNLY"
"CLL" "RARRES3"
"CLL" "GPR42"
"CLL" "CSPG4"
"CLL" "CNR1"
"CLL" "RNF19A"
"CLL" "KLRC4"
"CLL" "INSR"
"CLL" "IDUA"
"CLL" "ESR2"
"CLL" "DKC1"
"CLL" "TNFRSF13C"
"CLL" "GOPC"
"CLL" "TRIP10"
"CLL" "STAT3"
"CLL" "HLA-DQB1"
"CLL" "IL3RA"
"CLL" "TNRC6B"
"CLL" "RFWD2"
"CLL" "NPM1"
"CLL" "ETV5"
"CLL" "GLUD2"
"CLL" "HDC"
"CLL" "LBR"
"CLL" "TNFRSF25"
"CLL" "SALL1"
"CLL" "PSIP1"
"CLL" "CR1"
"CLL" "COL18A1"
"CLL" "IRF8"
"CLL" "GAB1"
"CLL" "TMOD4"
"CLL" "TLR4"
"CLL" "RAI1"
"CLL" "IL7R"
"CLL" "MAGEA1"
"CLL" "BTG4"
"CLL" "NOTCH3"
"CLL" "MFAP1"
"CLL" "NR3C1"
"CLL" "SH3BP4"
"CLL" "PIK3CD"
"CLL" "IGF1R"
"CLL" "IL2RG"
"CLL" "CHST11"
"CLL" "CXCR5"
"CLL" "PENK"
"CLL" "PDLIM7"
"CLL" "MPO"
"CLL" "PRIMA1"
"CLL" "PPARA"
"CLL" "CKAP4"
"CLL" "TCF3"
"CLL" "CCND1"
"CLL" "OPN1SW"
"CLL" "LPL"
"CLL" "CD1C"
"CLL" "RPA1"
"CLL" "ACP1"
"CLL" "CD47"
"CLL" "CXCR2"
"CLL" "XIAP"
"CLL" "FAT1"
"CLL" "SIL1"
"CLL" "FLT3"
"CLL" "KDM4A"
"CLL" "PTK2B"
"CLL" "ADA"
"CLL" "TBC1D9"
"CLL" "DOCK11"
"CLL" "CCL28"
"CLL" "CSF2"
"CLL" "RNASEH2C"
"CLL" "POU2AF1"
"CLL" "PTPRO"
"CLL" "ZNF645"
"CLL" "CCR7"
"CLL" "DUSP22"
"CLL" "CANX"
"CLL" "DXO"
"CLL" "NGFR"
"CLL" "MAPK14"
"CLL" "GNB3"
"CLL" "GDF1"
"CLL" "TPP1"
"CLL" "ACOXL"
"CLL" "PAX5"
"CLL" "MPRIP"
"CLL" "ETV6"
"CLL" "DLL4"
"CLL" "DUX4"
"CLL" "MYC"
"CLL" "TLR2"
"CLL" "TOPBP1"
"CLL" "DOK1"
"CLL" "GDNF"
"CLL" "RENBP"
"CLL" "HDAC9"
"CLL" "U2AF1"
"CLL" "TNFSF14"
"CLL" "CDK9"
"CLL" "ENG"
"CLL" "KIR2DS1"
"CLL" "LILRA4"
"CLL" "SP140"
"CLL" "IL15"
"CLL" "HOXA13"
"CLL" "RBM45"
"CLL" "TMCC3"
"CLL" "VCAM1"
"CLL" "GATA2"
"CLL" "GAL"
"CLL" "VIM"
"CLL" "COX5A"
"CLL" "ASCC1"
"CLL" "BSG"
"CLL" "LAMC2"
"CLL" "BRS3"
"CLL" "LILRB4"
"CLL" "SUV39H2"
"CLL" "CD180"
"CLL" "CXCL9"
"CLL" "MBL2"
"CLL" "LGALS3"
"CLL" "PRMT5"
"CLL" "TWIST2"
"CLL" "PDE4B"
"CLL" "KLRG1"
"CLL" "RAD52"
"CLL" "FOXP1"
"CLL" "FRZB"
"CLL" "PPARD"
"CLL" "RPS6KB1"
"CLL" "ODC1"
"CLL" "HLA-G"
"CLL" "SFRP1"
"CLL" "SYVN1"
"CLL" "ANP32B"
"CLL" "STIM1"
"CLL" "HRAS"
"CLL" "CDK4"
"CLL" "HSPD1"
"CLL" "SFRP2"
"CLL" "CCR8"
"CLL" "PRKD1"
"CLL" "TNFRSF11A"
"CLL" "ARL11"
"CLL" "RPP14"
"CLL" "ELL2"
"CLL" "WWC1"
"CLL" "PON1"
"CLL" "ENTPD1"
"CLL" "CYP3A4"
"CLL" "HSP90AA1"
"CLL" "MAP2K7"
"CLL" "CRK"
"CLL" "PPP1R13L"
"CLL" "RAP1A"
"CLL" "RBL2"
"CLL" "CD68"
"CLL" "CIB1"
"CLL" "SUV420H2"
"CLL" "PTPN6"
"CLL" "BCL2A1"
"CLL" "CYP2C9"
"CLL" "KIR2DS3"
"CLL" "WNK1"
"CLL" "MLH1"
"CLL" "LAMA4"
"CLL" "BLK"
"CLL" "CEBPA"
"CLL" "KANK2"
"CLL" "FCER2"
"CLL" "SUGP1"
"CLL" "HLA-DPB1"
"CLL" "TMEM206"
"CLL" "PROM1"
"CLL" "PDE7A"
"CLL" "MXD1"
"CLL" "CPOX"
"CLL" "FCGR1A"
"CLL" "RPS27"
"CLL" "PLXNA2"
"CLL" "FLG"
"CLL" "MMP9"
"CLL" "DOHH"
"CLL" "PTPN4"
"CLL" "RTEL1"
"CLL" "MYEOV"
"CLL" "CDKN3"
"CLL" "CLCN5"
"CLL" "BDNF"
"CLL" "HLA-DOA"
"CLL" "TCF7"
"CLL" "AQP1"
"CLL" "CTPS1"
"CLL" "GAST"
"CLL" "CSF3"
"CLL" "NCAPH2"
"CLL" "IL19"
"CLL" "ULK4"
"CLL" "RASGRF1"
"CLL" "ITCH"
"CLL" "MCM7"
"CLL" "FN1"
"CLL" "ARHGEF7"
"CLL" "SH3KBP1"
"CLL" "POU2F2"
"CLL" "RPE65"
"CLL" "EDN1"
"CLL" "RAG1"
"CLL" "C6ORF106"
"CLL" "CRLF2"
"CLL" "MAPK8"
"CLL" "FMNL1"
"CLL" "AMPD1"
"CLL" "PPP1R2P9"
"CLL" "MGA"
"CLL" "RAPH1"
"CLL" "ZNF224"
"CLL" "ERCC2"
"CLL" "PEG10"
"CLL" "IL1RN"
"CLL" "TNFSF8"
"CLL" "AHSA1"
"CLL" "JAK1"
"CLL" "NOS2"
"CLL" "CD55"
"CLL" "S100A9"
"CLL" "GALNS"
"CLL" "STAT5B"
"CLL" "TERF2IP"
"CLL" "TNFRSF10A"
"CLL" "PTK2"
"CLL" "IL16"
"CLL" "LGALS1"
"CLL" "MTHFR"
"CLL" "TMED7"
"CLL" "TERT"
"CLL" "SOX11"
"CLL" "WLS"
"CLL" "CD34"
"CLL" "OAS3"
"CLL" "FOXM1"
"CLL" "TERF1"
"CLL" "SUV420H1"
"CLL" "MCC"
"CLL" "NPAT"
"CLL" "SOCS1"
"CLL" "NOS1"
"CLL" "SAT1"
"CLL" "NRP1"
"CLL" "PTPN11"
"CLL" "ANG"
"CLL" "BMF"
"CLL" "POLB"
"CLL" "S100A8"
"CLL" "ITGA4"
"CLL" "LTA"
"CLL" "VEGFA"
"CLL" "MAP3K8"
"CLL" "DKK1"
"CLL" "TRD"
"CLL" "HIP1R"
"CLL" "HLA-DRB1"
"CLL" "SUV39H1"
"CLL" "JAG1"
"CLL" "H1F0"
"CLL" "ATF6"
"CLL" "IKZF2"
"CLL" "NQO1"
"CLL" "CDC7"
"CLL" "SLC2A4RG"
"CLL" "HOXA4"
"CLL" "BCOR"
"CLL" "SLC22A2"
"CLL" "CTCF"
"CLL" "SLCO6A1"
"CLL" "IL22"
"CLL" "E2F1"
"CLL" "MSH2"
"CLL" "TSLP"
"CLL" "PRDM1"
"CLL" "TFG"
"CLL" "IRAK4"
"CLL" "FOXO3"
"CLL" "CUX1"
"CLL" "FOSB"
"CLL" "CD14"
"CLL" "FAM188B"
"CLL" "TWSG1"
"CLL" "CD40LG"
"CLL" "BACH2"
"CLL" "EIF4G1"
"CLL" "CXCR1"
"CLL" "COL11A2"
"CLL" "RAD21"
"CLL" "TNFSF10"
"CLL" "BAK1"
"CLL" "TK1"
"CLL" "PRELP"
"CLL" "MAGED4"
"CLL" "NOD2"
